trial,estimate,squared_error
0,71.28448215818382,2.9430014655896426
1,74.55077711241078,2.404909652377132
2,72.8838589220885,0.013488749978443506
3,72.65551967721964,0.11866669278285834
4,70.49851952445506,6.257404569532527
5,71.43044347201692,2.463507694534306
6,70.16665495835993,8.027844124986382
7,75.7327509786254,7.467927911178103
8,74.25618474762204,1.5780001201582574
9,74.13880870681069,1.2968852707078422
10,74.21367471089275,1.473006303860592
11,70.21270376494408,7.7690203019569015
12,73.92802556629898,0.8612314517045508
13,73.80774936244102,0.6524590325238666
14,73.37627898590073,0.14158587523047847
15,73.90966592871496,0.8274921018648467
16,74.45813985689774,2.126171842273776
17,70.07334667459003,8.565299687133251
18,69.74831913913937,10.573428420887335
19,70.62873376148535,5.622903573919418
20,73.84139527958331,0.7079460165050759
21,74.01256685559804,1.0252916370556986
22,72.9955254563486,2.002154088826406e-05
23,74.94565745134582,3.7855829179775258
24,72.91008606452354,0.008084515792865008
25,73.17319512201205,0.02999655028876766
26,74.41446040110377,2.0006982262906297
27,72.76784296032451,0.053896891070884745
28,72.5165749181006,0.23369980980943958
29,72.18656660850834,0.6616738823936189
30,72.05035917547538,0.901817695603803
31,72.26108965427566,0.5459884990184565
32,71.8477875177213,1.3275936043188417
33,74.8181022218942,3.3054956892566025
34,71.85166802306414,1.3186663292534306
35,77.17922498016692,17.465921434851204
36,71.91774089282308,1.1712847750673925
37,71.52791592561157,2.167031522068052
38,72.09363177234336,0.8215033641054433
39,71.83091604745799,1.3667572880912493
40,74.69954431744756,2.8884508869682963
41,73.59658605627347,0.35591492253992735
42,72.80094583616197,0.039622560141256445
43,75.06206585561485,4.252115592892591
44,71.03233411144495,3.871709048983121
45,73.287170386688,0.08246683099053774
46,75.68832030316665,7.22706605241802
47,77.27976076316399,18.316352189918035
48,72.35209661833079,0.4197787919783973
49,71.45027497438821,2.40164765500747
50,75.05319848977375,4.215624038409203
51,72.29918578669317,0.4911405615728676
52,72.30964466496872,0.47659048860615744
53,76.08838407761917,9.538116210891596
54,74.58279059286336,2.5052260608567503
55,70.11234843799066,8.338531543574973
56,71.43044347201692,2.463507694534306
57,74.70886178203388,2.920208590096002
58,74.77216209089238,3.140558476396051
59,73.6148137698665,0.3779959716174589
60,74.12445360971184,1.2643959203939772
61,72.45985863259237,0.2917526967849823
62,75.20224932839352,4.849902104409712
63,73.26866654834134,0.07218171419765147
64,72.88823397570812,0.012491644186013479
65,75.96740634450164,8.805500413388586
66,71.27896367065993,2.9619660469083287
67,74.02384395331694,1.048256440743663
68,74.09724809742151,1.2039533872951302
69,70.19248673372888,7.882130740288308
70,72.20849615273752,0.6264783402313007
71,72.62421513622236,0.14121426384437877
72,70.31912769705397,7.18707630470314
73,73.13933410646379,0.019413993224063408
74,72.65969368766822,0.11580838621285258
75,73.71376820285744,0.509465047410336
76,72.65925281686695,0.11610864281310618
77,70.9363302538681,4.258732821100073
78,72.04639308568672,0.909366147026102
79,71.07673547769494,3.698946422757315
80,73.49933640971307,0.2493368500651355
81,70.41863846506611,6.66342737403625
82,71.24885561269063,3.0665066652050976
83,73.15505801425347,0.024042987784229267
84,72.17793803255572,0.6757858783183677
85,74.74089323568415,3.0307092580508455
86,73.8948113469347,0.8006873466030958
87,69.21596266674666,14.31893853945503
88,69.43584462720122,12.703203521450408
89,70.63973994585331,5.570827523200549
90,71.41195169957963,2.52189740446802
91,71.91094408581856,1.1860427842135797
92,72.67406932518693,0.10623080478410024
93,75.55290051470195,6.517301037965462
94,74.06180650594091,1.1274330560584387
95,75.66633440823607,7.109339176543583
96,72.58613004485724,0.17128833976986838
97,71.2203714867985,3.167077644999787
98,75.23038480228749,4.974616366275001
99,71.06445717976744,3.746326008953795
100,71.34346560594506,2.74410619868698
101,72.67616795777955,0.10486719156866424
102,74.87241872881081,3.505951896001505
103,74.0408502550087,1.0833692533516892
104,71.92365993721829,1.1585079307489368
105,73.31183459967241,0.09724081755285145
106,73.54777883935682,0.3000616568471084
107,73.13980803968326,0.019546287960075924
108,72.38113387227708,0.38299528404276695
109,78.38328909490761,28.979801479351195
110,69.50718371995133,12.199765566173042
