tau_i,trace,det,mean_e,mean_i,amp_e,amp_i
1.2,-0.5,1.8333333333333335,0.3636363636364015,0.681818181818187,0.0,0.0
1.7,-0.05882352941176472,1.2941176470588236,0.36369556527542585,0.6818439371459815,0.008081548235640779,0.0060687092710387525
1.8,0.0,1.2222222222222223,0.36013476520051874,0.6822831839775314,0.49270702532500443,0.3674117569461549
1.9,0.05263157894736836,1.1578947368421053,0.361690783445469,0.6882895599461487,0.5582182757224742,0.4135188041203353
2.4,0.25,0.9166666666666667,0.39669956826200914,0.7266583905263068,0.7852971769111197,0.565385511406419
